# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jul 27 09:27:49 2018
#
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
#
loc_rowid,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim
665,0.140000,0.000000,0.000000,0,0.49000,0.04000,-0.04000,0,5769.00,14.00,-14.00,0,1.12,0.01,-0.01,0
666,1.370000,0.030000,-0.030000,0,1.18000,0.06000,-0.06000,0,5645.00,20.00,-20.00,0,0.88,0.01,-0.01,0
667,0.540000,0.010000,-0.010000,0,0.17000,0.03000,-0.03000,0,5645.00,20.00,-20.00,0,0.88,0.01,-0.01,0
668,1.200000,0.100000,-0.100000,0,6.00000,0.30000,-0.30000,0,4323.00,15.00,-15.00,0,21.40,0.60,-0.60,0
669,3.140000,0.070000,-0.070000,0,2.64000,0.20000,-0.20000,0,5716.00,20.00,-20.00,0,1.13,0.02,-0.02,0
670,1.080000,0.040000,-0.040000,0,3.06000,0.22000,-0.20000,0,6330.00,47.00,-47.00,0,1.55,0.32,-0.32,0
671,3.860000,0.430000,-0.370000,0,4.85000,10.00000,-3.61000,0,6330.00,47.00,-47.00,0,1.55,0.32,-0.32,0
672,3.550000,0.180000,-0.180000,0,1.68000,0.24000,-0.24000,0,5801.00,41.00,-41.00,0,0.95,0.02,-0.02,0
673,2.180000,0.090000,-0.090000,0,3.07000,0.35000,-0.35000,0,5950.00,100.00,-100.00,0,1.02,0.05,-0.05,0
674,0.070000,0.000000,0.000000,0,1.97000,0.10000,-0.10000,0,5932.00,23.00,-23.00,0,1.19,0.02,-0.02,0
675,0.078500,,,0,0.03210,,,0,5385.00,20.00,-20.00,0,,,,
676,0.186000,,,0,0.03710,,,0,5385.00,20.00,-20.00,0,,,,
677,0.630000,,,0,0.05700,,,0,5385.00,20.00,-20.00,0,,,,
678,1.760000,0.050000,-0.050000,0,6.10000,0.40000,-0.40000,0,5737.00,70.00,-70.00,0,,,,
679,3.180000,0.070000,-0.070000,0,1.85000,0.09000,-0.09000,0,5665.00,10.00,-10.00,0,1.02,0.01,-0.01,0
680,1.360000,0.020000,-0.020000,0,0.27000,0.03000,-0.03000,0,5371.00,28.00,-28.00,0,0.97,0.02,-0.02,0
681,4.750000,0.080000,-0.080000,0,3.85000,0.23000,-0.23000,0,5932.00,19.00,-19.00,0,1.46,0.02,-0.02,0
682,0.228000,0.008000,-0.008000,0,5.45000,0.37000,-0.37000,0,5688.00,100.00,-100.00,0,1.22,0.06,-0.06,0
683,0.040000,0.000000,0.000000,0,1.57000,0.07000,-0.07000,0,5460.00,26.00,-26.00,0,0.93,0.01,-0.01,0
684,2.198000,0.025000,-0.025000,0,3.06000,0.07000,-0.07000,0,5317.00,34.00,-34.00,0,1.04,,,0
685,0.650000,0.010000,-0.010000,0,3.08000,0.31000,-0.31000,0,5601.00,24.00,-24.00,0,1.53,0.03,-0.03,0
686,1.030000,0.020000,-0.020000,0,2.25000,0.13000,-0.13000,0,5601.00,24.00,-24.00,0,1.53,0.03,-0.03,0
687,3.020000,0.080000,-0.080000,0,1.20000,0.10000,-0.10000,0,4973.00,14.00,-14.00,0,2.63,0.07,-0.07,0
688,0.292000,0.004000,-0.004000,0,1.80000,0.06000,-0.06000,0,6068.00,44.00,-44.00,0,,,,
689,3.850000,0.054000,-0.054000,0,8.06000,0.37000,-0.37000,0,6068.00,44.00,-44.00,0,,,,
690,2.340000,0.040000,-0.040000,0,1.38000,0.53000,-0.53000,0,6047.00,15.00,-15.00,0,0.97,0.02,-0.02,0
691,0.050000,0.000000,0.000000,0,0.49000,0.03000,-0.03000,0,6117.00,16.00,-16.00,0,1.23,0.02,-0.02,0
692,6.460000,2.920000,-2.920000,0,5.42000,1.62000,-1.62000,0,4917.00,44.00,-44.00,0,3.17,0.18,-0.18,0
693,1.190000,0.040000,-0.040000,0,2.70000,0.33000,-0.33000,0,6061.00,27.00,-27.00,0,1.55,0.04,-0.04,0
694,0.050000,0.000000,0.000000,0,0.21000,0.03000,-0.03000,0,5644.00,33.00,-33.00,0,1.37,0.03,-0.03,0
695,1.149000,0.017000,-0.017000,0,3.93000,0.14000,-0.15000,0,4698.00,100.00,-100.00,0,7.47,0.60,-0.60,0
696,0.060000,0.000000,0.000000,0,0.06000,0.02000,-0.02000,0,5341.00,31.00,-31.00,0,0.97,0.02,-0.02,0
697,0.060000,0.000000,0.000000,0,0.02000,0.00000,0.00000,0,5131.00,14.00,-14.00,0,0.78,0.01,-0.01,0
698,0.113400,0.001300,-0.001400,0,0.02473,0.00230,-0.00223,0,5131.00,14.00,-14.00,0,0.78,0.01,-0.01,0
699,0.155100,0.001800,-0.001900,0,0.02026,0.00249,-0.00245,0,5131.00,14.00,-14.00,0,0.78,0.01,-0.01,0
700,3.130000,0.080000,-0.080000,0,1.34000,0.07000,-0.07000,0,5740.00,100.00,-100.00,0,,,,0
701,,,,0,4.38000,0.74000,-0.74000,0,5561.00,24.00,-24.00,0,1.04,0.02,-0.02,0
702,1.940000,0.030000,-0.030000,0,7.27000,0.98000,-0.98000,0,5755.00,20.00,-20.00,0,0.91,0.01,-0.01,0
703,0.810000,,,0,2.70000,,,0,4753.00,15.00,-15.00,0,13.00,,,0
704,1.580000,0.080000,-0.080000,0,2.33000,0.33000,-0.33000,0,4953.00,123.00,-123.00,0,5.26,0.31,-0.31,0
705,1.183060,0.000620,-0.000620,0,1.68100,0.02800,-0.02800,0,6016.00,,,0,,,,
706,0.743450,0.000120,-0.000120,0,1.95900,0.04700,-0.04700,0,6016.00,,,0,,,,
707,0.040000,0.000000,0.000000,0,0.34000,0.02000,-0.02000,0,5442.00,17.00,-17.00,0,0.94,0.02,-0.02,0
708,2.450000,0.040000,-0.060000,0,0.68000,0.07000,-0.04000,0,6136.00,18.00,-18.00,0,1.19,0.04,-0.04,0
709,1.520000,0.040000,-0.040000,0,0.11000,0.01000,-0.01000,0,5164.00,10.00,-10.00,0,0.80,0.01,-0.01,0
710,0.260000,0.000000,0.000000,0,0.01000,0.00000,0.00000,0,4300.00,45.00,-45.00,0,0.71,0.02,-0.02,0
711,0.760000,0.010000,-0.010000,0,2.03000,0.14000,-0.14000,0,6064.00,14.00,-14.00,0,1.38,0.02,-0.02,0
712,0.030000,0.000000,0.000000,0,1.64000,0.09000,-0.09000,0,6018.00,18.00,-18.00,0,1.58,0.04,-0.04,0
713,2.840000,0.060000,-0.060000,0,0.92000,0.10000,-0.10000,0,5903.00,31.00,-31.00,0,1.02,0.03,-0.03,0
714,2.860000,0.070000,-0.070000,0,7.00000,1.60000,-1.60000,0,6210.00,44.00,-44.00,0,1.88,0.12,-0.12,0
715,3.020000,0.150000,-0.150000,0,14.20000,1.60000,-1.60000,0,6472.00,51.00,-51.00,0,1.39,0.10,-0.10,0
716,2.720000,0.080000,-0.080000,0,3.60000,0.70000,-0.70000,0,4805.00,100.00,-100.00,0,8.80,0.60,-0.60,0
717,0.117000,0.003000,-0.003000,0,12.40000,0.70000,-0.70000,0,5770.00,80.00,-80.00,0,1.55,0.22,-0.22,0
718,3.580000,0.100000,-0.100000,0,1.54000,0.26000,-0.26000,0,4915.00,73.00,-73.00,0,0.79,0.03,-0.03,0
719,0.050000,0.000000,0.000000,0,0.30000,0.04000,-0.04000,0,5404.00,19.00,-19.00,0,2.01,0.04,-0.04,0
720,3.270000,0.070000,-0.070000,0,2.11000,0.21000,-0.21000,0,5955.00,14.00,-14.00,0,1.10,0.01,-0.01,0
721,0.105000,0.001300,-0.001300,0,0.11232,0.01038,-0.01038,0,5499.00,73.00,-73.00,0,1.66,0.02,0.00,0
722,0.918000,0.010000,-0.010000,0,8.44000,0.23000,-0.23000,0,6291.00,44.00,-44.00,0,,,,
723,0.250000,0.004000,-0.004000,0,0.05700,0.00500,-0.00500,0,5599.00,12.00,-12.00,0,,,,
724,2.200000,0.090000,-0.090000,0,1.11000,0.14000,-0.14000,0,5577.00,100.00,-100.00,0,1.67,0.07,-0.07,0
725,0.950000,0.020000,-0.020000,0,3.71000,0.17000,-0.17000,0,5738.00,15.00,-15.00,0,1.11,0.01,-0.01,0
726,0.477000,,,0,0.37000,,,0,4995.00,50.00,-50.00,0,,,,
727,0.189000,0.006000,-0.006000,0,0.70000,0.06000,-0.06000,0,5793.00,22.00,-22.00,0,1.00,,,0
728,0.654000,0.022000,-0.022000,0,1.82000,0.17000,-0.17000,0,5793.00,22.00,-22.00,0,1.00,,,0
729,55.700000,2.500000,-2.500000,0,5.00000,2.00000,-2.00000,0,,,,,,,,
730,1.510000,0.050000,-0.050000,0,1.20000,0.10000,-0.10000,0,5002.00,44.00,-44.00,0,4.90,0.10,-0.10,0
731,1.280000,0.080000,-0.080000,0,10.63000,8.06000,-8.06000,0,4218.00,30.00,-30.00,0,41.01,18.22,-18.22,0
732,5.150000,0.160000,-0.160000,0,3.74000,0.93000,-0.93000,0,5312.00,100.00,-100.00,0,0.84,0.04,-0.04,0
733,0.990000,0.030000,-0.030000,0,0.90000,0.10000,-0.10000,0,5148.00,44.00,-44.00,0,4.50,0.10,-0.10,0
734,1.420000,0.130000,-0.130000,0,20.96000,12.99000,-12.99000,0,3943.00,23.00,-23.00,0,51.10,22.81,-22.81,0
735,1.350000,0.040000,-0.040000,0,0.80000,0.08000,-0.08000,0,5807.00,31.00,-31.00,0,1.85,0.05,-0.05,0
736,,,,0,0.03000,0.00000,0.00000,0,5175.00,25.00,-25.00,0,0.74,0.01,-0.01,0
737,1.320000,0.030000,-0.030000,0,2.20000,0.28000,-0.28000,0,4946.00,25.00,-25.00,0,3.85,0.15,-0.15,0
738,5.600000,0.400000,-0.400000,0,6.80000,0.50000,-0.50000,0,5759.00,35.00,-35.00,0,1.00,,,0
739,1.110000,0.020000,-0.020000,0,0.44000,0.08000,-0.08000,0,5282.00,32.00,-32.00,0,0.98,0.02,-0.02,0
740,0.120000,0.000000,0.000000,0,0.07000,0.05000,-0.05000,0,4815.00,185.00,-185.00,0,0.83,0.07,-0.07,0
741,2.130000,0.080000,-0.080000,0,1.39000,0.24000,-0.24000,0,4891.00,35.00,-35.00,0,6.29,0.28,-0.28,0
742,0.810000,0.030000,-0.030000,0,8.20000,0.20000,-0.20000,0,4780.00,100.00,-100.00,0,,,,
743,0.720000,0.030000,-0.030000,0,1.98000,0.21000,-0.21000,0,4945.00,100.00,-100.00,0,11.60,1.40,-1.40,0
744,1.134000,0.029000,-0.029000,0,1.56000,0.08000,-0.08000,0,5180.00,45.00,-45.00,0,,,,
745,0.706000,0.016000,-0.016000,0,2.68000,0.12000,-0.12000,0,5530.00,35.00,-35.00,0,,,,
746,,,,0,0.04000,0.01000,-0.01000,0,5089.00,50.00,-50.00,0,0.72,0.02,-0.02,0
747,0.250000,0.010000,-0.010000,0,0.36000,0.07000,-0.07000,0,3901.00,175.00,-175.00,0,0.65,0.06,-0.06,0
748,0.070000,0.000000,0.000000,0,3.38000,0.12000,-0.12000,0,5520.00,19.00,-19.00,0,1.04,0.03,-0.03,0
749,0.545000,0.031000,-0.031000,0,1.28000,0.10000,-0.10000,0,5520.00,19.00,-19.00,0,1.04,0.03,-0.03,0
750,1.890000,0.110000,-0.110000,0,0.57000,0.05200,-0.05200,0,5520.00,19.00,-19.00,0,1.04,0.03,-0.03,0
751,,,,,,,,,6199.00,50.00,-50.00,0,1.40,0.19,-0.19,0
752,,,,,,,,,6199.00,50.00,-50.00,0,1.40,0.19,-0.19,0
753,,,,,,,,,6199.00,50.00,-50.00,0,1.40,0.19,-0.19,0
754,,,,,,,,,6199.00,50.00,-50.00,0,1.40,0.19,-0.19,0
755,,,,,,,,,6199.00,50.00,-50.00,0,1.40,0.19,-0.19,0
756,0.890000,0.020000,-0.020000,0,0.96000,0.56000,-0.56000,0,4813.00,171.00,-171.00,0,0.75,0.06,-0.06,0
757,7.700000,1.880000,-1.880000,0,15.04000,10.55000,-10.55000,0,4813.00,171.00,-171.00,0,0.75,0.06,-0.06,0
758,0.070000,0.000000,0.000000,0,0.02000,0.01000,-0.01000,0,4510.00,136.00,-136.00,0,0.78,0.05,-0.05,0
759,0.178000,,,0,0.40902,0.00944,-0.00944,0,4510.00,136.00,-136.00,0,0.78,0.05,-0.05,0
760,1.010000,,,0,0.52670,0.03000,-0.03000,0,4510.00,136.00,-136.00,0,0.78,0.05,-0.05,0
761,0.565000,,,0,9.18000,,,0,4830.00,100.00,-100.00,0,,,,
762,0.177000,0.005000,-0.005000,0,0.42800,0.03200,-0.03200,0,5460.00,50.00,-50.00,0,,,,
763,0.316000,0.008000,-0.008000,0,0.78400,0.05400,-0.05400,0,5460.00,50.00,-50.00,0,,,,
764,92.000000,,,0,9.00000,3.00000,-3.00000,0,8840.00,200.00,-200.00,0,1.77,0.05,-0.05,0
765,2.810000,0.090000,-0.090000,0,6.00000,0.49000,-0.49000,0,5000.00,100.00,-100.00,0,8.93,1.02,-1.02,0
766,4.910000,0.140000,-0.130000,0,11.10000,0.40000,-1.10000,0,4985.00,100.00,-100.00,0,8.69,0.88,-0.88,0
767,0.460000,0.020000,-0.020000,0,1.38000,0.15000,-0.15000,0,4890.00,100.00,-100.00,0,5.92,0.44,-0.44,0
768,3.820000,0.230000,-0.230000,0,5.98000,0.76000,-0.76000,0,4890.00,100.00,-100.00,0,5.92,0.44,-0.44,0
769,20.250000,15.750000,-15.750000,0,9.00000,6.00000,-6.00000,0,4105.00,130.00,-130.00,0,,,,0
770,2.100000,0.090000,-0.090000,0,2.40000,0.30000,-0.30000,0,4850.00,100.00,-100.00,0,5.77,0.53,-0.53,0
771,1.275000,0.074000,-0.074000,0,8.82000,0.72000,-0.72000,0,4530.00,100.00,-100.00,0,,,,
772,740.000000,60.000000,-60.000000,0,23.00000,1.00000,-1.00000,0,10500.00,,,0,,,,
773,0.360000,,,,2.10000,,,0,3368.00,,,0,0.54,,,0
774,2.800000,0.250000,-0.250000,0,5.50000,1.00000,-1.00000,0,4670.00,100.00,-100.00,0,7.83,1.02,-1.02,0
775,0.060000,0.000000,0.000000,0,1.09000,0.21000,-0.21000,0,5519.00,70.00,-70.00,0,0.89,0.03,-0.03,0
776,2.550000,0.050000,-0.050000,0,20.00000,0.40000,-0.40000,0,5020.00,100.00,-100.00,0,5.34,0.55,-0.55,0
777,773.000000,13.000000,-13.000000,0,21.99870,9.42803,-9.42803,0,5974.00,,,0,1.04,,,0
778,20.300000,0.300000,-0.300000,0,30.00000,15.00000,-15.00000,0,,,,,,,,
779,0.920000,0.020000,-0.020000,0,2.27000,0.25000,-0.25000,0,6167.00,24.00,-24.00,0,1.13,0.02,-0.02,0
780,68.000000,,,0,7.00000,4.00000,-2.00000,0,,,,,,,,
781,38.000000,,,0,10.00000,3.00000,-3.00000,0,,,,,,,,
782,24.000000,,,0,10.00000,3.00000,-3.00000,0,,,,,,,,
783,14.500000,0.500000,-0.500000,0,,,,,,,,,,,,
784,2.038000,0.039000,-0.039000,0,6.30000,0.50000,-0.50000,0,,,,0,,,,0
785,,,,,0.08495,0.05349,-0.05034,0,5620.00,70.00,-70.00,0,0.98,0.08,-0.08,0
786,,,,,,,,,6120.00,90.00,-90.00,0,1.19,0.05,-0.05,0
787,,,,,,,,,4819.00,45.00,-45.00,0,0.73,0.03,-0.03,0
788,,,,,,,,,4695.00,50.00,-50.00,0,0.71,0.03,-0.03,0
789,0.023000,0.001000,-0.001000,0,,,,0,3546.46,98.71,-94.56,0,0.49,0.03,-0.03,0
790,0.081000,0.006000,-0.006000,0,0.09439,0.05978,-0.05978,0,5434.00,53.00,-53.00,0,0.95,0.11,-0.10,0
791,0.011600,0.001300,-0.001300,0,0.02630,0.00302,-0.00296,0,5470.00,30.00,-30.00,0,0.87,0.09,-0.09,0
792,0.105000,0.015000,-0.015000,0,0.01825,0.01038,-0.00944,0,5470.00,30.00,-30.00,0,0.87,0.09,-0.09,0
793,0.048000,0.005000,-0.005000,0,0.84000,0.08000,-0.08000,0,6030.00,120.00,-120.00,0,1.78,0.16,-0.16,0
794,0.057300,0.001000,-0.001000,0,0.18689,0.01384,-0.01384,0,5474.00,60.00,-60.00,0,1.75,0.14,-0.14,0
795,0.225700,0.014300,-0.014300,0,,,,,5433.00,49.00,-144.00,0,5.15,0.20,-4.39,0
796,0.102100,0.000800,-0.000800,0,0.05254,0.01007,-0.01007,0,5010.00,50.00,-50.00,0,0.71,0.02,-0.02,0
797,0.062100,0.009200,-0.008500,0,0.02706,0.01227,-0.01227,0,5730.00,50.00,-50.00,0,1.23,0.10,-0.10,0
798,0.055800,0.005900,-0.004900,0,1.29000,0.13000,-0.14000,0,5627.00,88.00,-88.00,0,1.05,0.11,-0.08,0
799,0.093090,0.000660,-0.000590,0,1.85000,0.23000,-0.22000,0,5027.00,62.00,-57.00,0,0.83,0.03,-0.02,0
800,0.136700,0.001200,-0.001000,0,0.84000,0.18000,-0.20000,0,5560.00,56.00,-58.00,0,0.88,0.05,-0.05,0
801,0.048000,0.002000,-0.002000,0,,,,0,4348.35,86.10,-87.78,0,0.67,0.03,-0.03,0
802,0.019000,0.001000,-0.001000,0,,,,0,3842.12,82.26,-81.78,0,0.49,0.03,-0.03,0
803,0.051000,0.002000,-0.002000,0,,,,0,3842.12,82.26,-81.78,0,0.49,0.03,-0.03,0
804,0.245000,0.008000,-0.008000,0,,,,0,4726.29,142.64,-127.34,0,0.73,0.05,-0.04,0
805,0.070000,0.002000,-0.002000,0,,,,0,4752.80,155.36,-129.21,0,0.68,0.04,-0.04,0
806,0.080200,0.002100,-0.002100,0,,,,,5800.00,53.00,-90.00,0,1.01,0.27,-0.09,0
807,0.078000,0.003000,-0.003000,0,,,,0,4349.90,101.62,-96.12,0,0.67,0.04,-0.03,0
808,0.052000,0.002000,-0.002000,0,,,,0,4471.38,111.56,-103.57,0,0.77,0.04,-0.04,0
809,0.029000,0.001000,-0.001000,0,,,,0,3993.36,77.64,-76.32,0,0.59,0.03,-0.03,0
810,0.167000,0.005000,-0.006000,0,,,,0,4075.67,82.80,-81.14,0,0.57,0.03,-0.03,0
811,0.051000,0.002000,-0.003000,0,,,,0,3560.70,86.88,-84.27,0,0.34,0.03,-0.03,0
812,0.121000,0.004000,-0.005000,0,,,,0,3654.47,99.56,-92.33,0,0.40,0.03,-0.03,0
813,0.066000,0.002000,-0.002000,0,,,,0,4367.83,128.30,-114.57,0,0.62,0.04,-0.03,0
814,0.041000,0.001000,-0.001000,0,,,,0,4387.84,142.05,-137.02,0,0.68,0.05,-0.04,0
815,0.056000,0.002000,-0.002000,0,,,,0,4469.51,171.97,-145.15,0,0.78,0.08,-0.06,0
816,0.057000,0.003000,-0.004000,0,,,,0,3459.09,89.05,-83.62,0,0.36,0.03,-0.03,0
817,0.211400,0.006100,-0.006100,0,,,,,5698.00,45.00,-82.00,0,0.78,0.09,-0.05,0
818,0.032000,0.001000,-0.001000,0,,,,0,4356.47,196.73,-172.40,0,0.74,0.11,-0.08,0
819,0.009500,0.000000,0.000000,0,0.01730,0.00724,-0.00724,0,5245.00,46.00,-52.00,0,0.75,0.01,-0.01,0
820,,,,0,0.49000,0.06000,-0.06000,0,4840.00,90.00,-90.00,0,3.85,0.13,-0.13,0
821,0.033000,0.002000,-0.002000,0,,,,0,3655.00,80.00,-80.00,0,0.47,0.03,-0.03,0
822,0.045000,0.003000,-0.003000,0,,,,0,3655.00,80.00,-80.00,0,0.47,0.03,-0.03,0
823,0.077000,0.005000,-0.005000,0,,,,0,3655.00,80.00,-80.00,0,0.47,0.03,-0.03,0
824,,,,0,,,,0,4499.00,50.00,-50.00,0,0.66,0.02,-0.02,0
825,,,,0,,,,0,4499.00,50.00,-50.00,0,0.66,0.02,-0.02,0
826,,,,0,,,,0,4499.00,50.00,-50.00,0,0.66,0.02,-0.02,0
827,0.005800,0.000600,-0.000600,0,0.50000,,,1,3492.00,70.00,-70.00,0,0.44,0.04,-0.04,0
828,0.033800,0.000240,-0.000240,0,,,,0,5378.00,60.00,-60.00,0,0.86,0.08,-0.08,0
829,0.044540,0.000320,-0.000320,0,,,,0,5378.00,60.00,-60.00,0,0.86,0.08,-0.08,0
830,0.058830,0.000420,-0.000420,0,,,,0,5378.00,60.00,-60.00,0,0.86,0.08,-0.08,0
831,0.078070,0.000560,-0.000560,0,,,,0,5378.00,60.00,-60.00,0,0.86,0.08,-0.08,0
832,0.104300,0.000740,-0.000750,0,,,,0,5378.00,60.00,-60.00,0,0.86,0.08,-0.08,0
833,0.179000,0.021000,-0.027000,0,0.38700,0.08300,-0.07500,0,5340.00,110.00,-110.00,0,0.86,0.03,-0.03,0
834,0.062700,0.000600,-0.000600,0,,,,,3789.00,17.00,-16.00,0,0.45,0.01,-0.01,0
835,0.068700,0.000500,-0.000500,0,0.21143,0.09817,-0.06733,0,5705.00,50.00,-48.00,0,0.99,0.01,-0.01,0
836,,,,0,0.01598,0.00129,-0.00129,0,4599.00,79.00,-79.00,0,0.68,0.02,-0.02,0
837,,,,0,0.02328,,,1,4599.00,79.00,-79.00,0,0.68,0.02,-0.02,0
838,0.026600,0.001000,-0.001000,0,,,,0,3385.00,70.00,-70.00,0,0.35,0.04,-0.04,0
839,0.015900,0.000500,-0.000500,0,,,,0,3672.00,70.00,-70.00,0,0.55,0.06,-0.06,0
840,0.045400,0.001400,-0.001400,0,,,,0,4079.00,70.00,-70.00,0,0.63,0.06,-0.06,0
841,0.061600,0.001900,-0.001900,0,,,,0,4079.00,70.00,-70.00,0,0.63,0.06,-0.06,0
842,0.077400,0.002400,-0.002400,0,,,,0,4079.00,70.00,-70.00,0,0.63,0.06,-0.06,0
843,0.083000,0.002700,-0.002700,0,,,,0,3745.00,70.00,-70.00,0,0.57,0.06,-0.06,0
844,0.091000,0.001800,-0.001800,0,,,,,5131.00,69.00,-65.00,0,0.68,0.06,-0.03,0
845,0.072700,0.002700,-0.002700,0,,,,0,3499.00,70.00,-70.00,0,0.44,0.04,-0.04,0
846,0.036500,0.001400,-0.001400,0,,,,0,3585.00,70.00,-70.00,0,0.43,0.04,-0.04,0
847,0.171600,0.001200,-0.001200,0,0.02517,0.00912,-0.00850,0,4044.00,34.00,-35.00,0,0.61,0.01,-0.01,0
848,0.061400,0.000400,-0.000400,0,0.02108,0.00818,-0.00787,0,3845.00,37.00,-37.00,0,0.53,0.01,-0.01,0
849,0.040500,0.000300,-0.000300,0,0.02140,0.00787,-0.00755,0,4097.00,40.00,-45.00,0,0.63,0.01,-0.01,0
850,0.067700,0.000500,-0.000500,0,0.02202,0.00755,-0.00755,0,4097.00,40.00,-45.00,0,0.63,0.01,-0.01,0
851,0.056200,0.001300,-0.001400,0,0.01479,0.00157,-0.00094,0,4258.00,150.00,-150.00,0,0.58,0.06,-0.03,0
852,0.094600,0.003100,-0.003000,0,0.02045,0.00472,-0.00157,0,4258.00,150.00,-150.00,0,0.58,0.06,-0.03,0
853,0.193700,0.006400,-0.005900,0,0.01542,0.00535,-0.00189,0,4258.00,150.00,-150.00,0,0.58,0.06,-0.03,0
854,0.014900,0.000100,-0.000100,0,0.00850,0.00472,-0.00472,0,4597.00,50.00,-50.00,0,0.66,0.01,-0.01,0
855,,,,,,,,,5456.00,50.00,-50.00,0,0.88,0.05,-0.03,0
856,0.088700,0.000800,-0.000800,0,0.03020,0.00755,-0.00787,0,5503.00,51.00,-48.00,0,0.95,0.02,-0.02,0
857,0.062200,0.000600,-0.000600,0,0.01133,0.00629,-0.00598,0,5503.00,51.00,-48.00,0,0.95,0.02,-0.02,0
858,0.101300,0.000800,-0.000900,0,0.02486,0.00755,-0.00787,0,5425.00,44.00,-44.00,0,0.83,0.01,-0.01,0
859,0.066700,0.001100,-0.001100,0,,,,,4742.00,60.00,-60.00,0,0.66,0.03,-0.03,0
860,0.122900,0.002100,-0.002100,0,,,,,4742.00,60.00,-60.00,0,0.66,0.03,-0.03,0
861,,,,,,,,,5649.00,50.00,-50.00,0,0.91,0.04,-0.03,0
862,,,,,,,,,4972.00,50.00,-50.00,0,2.57,0.31,-0.25,0
863,0.079500,0.000600,-0.000600,0,0.01416,0.00724,-0.00692,0,4842.00,49.00,-45.00,0,0.69,0.01,-0.01,0
864,,,,,,,,,4937.00,50.00,-50.00,0,0.76,0.02,-0.01,0
865,,,,,,,,,5791.00,50.00,-50.00,0,2.20,0.31,-0.25,0
866,,,,,,,,,5185.00,50.00,-50.00,0,0.80,0.05,-0.03,0
867,,,,,,,,,5185.00,50.00,-50.00,0,0.80,0.05,-0.03,0
868,,,,,,,,,5185.00,50.00,-50.00,0,0.80,0.05,-0.03,0
869,0.085800,0.001000,-0.000900,0,0.02328,0.00787,-0.00755,0,5960.00,52.00,-53.00,0,1.61,0.04,-0.04,0
870,,,,,,,,,5908.00,50.00,-50.00,0,1.83,0.29,-0.28,0
871,,,,,,,,,5554.00,50.00,-50.00,0,0.87,0.07,-0.04,0
872,,,,,,,,,5548.00,50.00,-50.00,0,0.92,0.05,-0.03,0
873,0.119000,0.002000,-0.002000,0,,,,,4320.00,56.00,-47.00,0,0.66,0.02,-0.03,0
874,,,,,,,,,5748.00,50.00,-50.00,0,0.98,0.11,-0.07,0
875,,,,,,,,,5748.00,50.00,-50.00,0,0.98,0.11,-0.07,0
876,,,,,,,,,5250.00,50.00,-50.00,0,1.72,0.22,-0.19,0
877,,,,,,,,,5569.00,50.00,-50.00,0,0.87,0.04,-0.03,0
878,,,,,,,,,5569.00,50.00,-50.00,0,0.87,0.04,-0.03,0
879,,,,,,,,,5580.00,70.00,-70.00,0,0.84,0.06,-0.04,0
880,,,,,,,,,4500.00,50.00,-50.00,0,0.64,0.02,-0.02,0
881,,,,,,,,,5909.00,50.00,-50.00,0,1.42,0.21,-0.17,0
882,,,,,,,,,5428.00,50.00,-50.00,0,0.86,0.03,-0.02,0
883,,,,,,,,,6063.00,50.00,-50.00,0,1.21,0.09,-0.06,0
884,,,,,,,,,5525.00,50.00,-50.00,0,0.89,0.04,-0.03,0
885,,,,,,,,,5015.00,50.00,-50.00,0,0.77,0.02,-0.02,0
886,0.143000,0.006000,-0.006000,0,0.02504,0.00601,-0.00601,0,3457.00,39.00,-39.00,0,0.41,0.04,-0.04,0
887,0.060000,0.003000,-0.003000,0,0.02363,0.00418,-0.00418,0,3457.00,39.00,-39.00,0,0.41,0.04,-0.04,0
888,,,,,,,,,5263.00,50.00,-50.00,0,0.68,0.02,-0.02,0
889,,,,,,,,,5609.00,50.00,-50.00,0,1.00,0.08,-0.04,0
